name,Region,Zone
GEN_111000_UBDCPH-1_132_1,PUNJAB,NR
GEN_111000_UBDCPH-1_132_2,PUNJAB,NR
GEN_111009_MUKERIAN-4_132_1,PUNJAB,NR
GEN_111009_MUKERIAN-4_132_2,PUNJAB,NR
GEN_111009_MUKERIAN-4_132_3,PUNJAB,NR
GEN_111017_MUKERI-3_132_1,PUNJAB,NR
GEN_111017_MUKERI-3_132_2,PUNJAB,NR
GEN_111017_MUKERI-3_132_3,PUNJAB,NR
GEN_111046_ANANDGARH-2_132_1,PUNJAB,NR
GEN_111046_ANANDGARH-2_132_2,PUNJAB,NR
GEN_111046_ANANDGARH-2_132_3,PUNJAB,NR
GEN_111046_ANANDGARH-2_132_4,PUNJAB,NR
GEN_111067_UBDCPH-3_132_1,PUNJAB,NR
GEN_111067_UBDCPH-3_132_2,PUNJAB,NR
GEN_111068_UBDCPH-2_132_1,PUNJAB,NR
GEN_111068_UBDCPH-2_132_2,PUNJAB,NR
GEN_111086_MUKERI-1_132_1,PUNJAB,NR
GEN_111086_MUKERI-1_132_2,PUNJAB,NR
GEN_111086_MUKERI-1_132_3,PUNJAB,NR
GEN_111087_MUKERI-2_132_1,PUNJAB,NR
GEN_111087_MUKERI-2_132_2,PUNJAB,NR
GEN_111087_MUKERI-2_132_3,PUNJAB,NR
GEN_111089_JOGINDERNAGA_132_1,PUNJAB,NR
GEN_111089_JOGINDERNAGA_132_2,PUNJAB,NR
GEN_111089_JOGINDERNAGA_132_3,PUNJAB,NR
GEN_111089_JOGINDERNAGA_132_4,PUNJAB,NR
GEN_111089_JOGINDERNAGA_132_5,PUNJAB,NR
GEN_111092_ANANDGARH-1_132_1,PUNJAB,NR
GEN_111092_ANANDGARH-1_132_2,PUNJAB,NR
GEN_111113_GANGUWAL_132_1,PUNJAB,NR
GEN_111113_GANGUWAL_132_2,PUNJAB,NR
GEN_111113_GANGUWAL_132_3,PUNJAB,NR
GEN_111114_KOTLA_132_1,PUNJAB,NR
GEN_111114_KOTLA_132_2,PUNJAB,NR
GEN_111114_KOTLA_132_3,PUNJAB,NR
GEN_112004_LEHRAMOHABBA_220_1,PUNJAB,NR
GEN_112004_LEHRAMOHABBA_220_2,PUNJAB,NR
GEN_112004_LEHRAMOHABBA_220_3,PUNJAB,NR
GEN_112004_LEHRAMOHABBA_220_4,PUNJAB,NR
GEN_112019_RSD_220_1,PUNJAB,NR
GEN_112019_RSD_220_2,PUNJAB,NR
GEN_112019_RSD_220_3,PUNJAB,NR
GEN_112019_RSD_220_4,PUNJAB,NR
GEN_112029_ROPAR_220_1,PUNJAB,NR
GEN_112029_ROPAR_220_2,PUNJAB,NR
GEN_112029_ROPAR_220_3,PUNJAB,NR
GEN_112029_ROPAR_220_4,PUNJAB,NR
GEN_112029_ROPAR_220_5,PUNJAB,NR
GEN_112029_ROPAR_220_6,PUNJAB,NR
GEN_112044_BATHINDA_220_1,PUNJAB,NR
GEN_112044_BATHINDA_220_2,PUNJAB,NR
GEN_112044_BATHINDA_220_3,PUNJAB,NR
GEN_112044_BATHINDA_220_4,PUNJAB,NR
GEN_112066_GOINDWAL_220_1,PUNJAB,NR
GEN_112066_GOINDWAL_220_2,PUNJAB,NR
GEN_114000_TALWANDISABO_400_1,PUNJAB,NR
GEN_114000_TALWANDISABO_400_2,PUNJAB,NR
GEN_114000_TALWANDISABO_400_3,PUNJAB,NR
GEN_114005_RAJPURA_TH_400_1,PUNJAB,NR
GEN_114005_RAJPURA_TH_400_2,PUNJAB,NR
GEN_122010_PANIPAT_OLD_220_1,HARYANA,NR
GEN_122010_PANIPAT_OLD_220_2,HARYANA,NR
GEN_122010_PANIPAT_OLD_220_3,HARYANA,NR
GEN_122010_PANIPAT_OLD_220_4,HARYANA,NR
GEN_122023_PANIPAT_NEW_220_5,HARYANA,NR
GEN_122023_PANIPAT_NEW_220_6,HARYANA,NR
GEN_122023_PANIPAT_NEW_220_7,HARYANA,NR
GEN_122023_PANIPAT_NEW_220_8,HARYANA,NR
GEN_122029_YAMUNA2_220_1,HARYANA,NR
GEN_122029_YAMUNA2_220_2,HARYANA,NR
GEN_122073_FARIDAB2_220_G1,HARYANA,NR
GEN_122073_FARIDAB2_220_G2,HARYANA,NR
GEN_122073_FARIDAB2_220_S1,HARYANA,NR
GEN_124001_KHEDAR_400_1,HARYANA,NR
GEN_124001_KHEDAR_400_2,HARYANA,NR
GEN_124004_JHAJAR_N_400_1,HARYANA,NR
GEN_124004_JHAJAR_N_400_2,HARYANA,NR
GEN_124023_JHAJJAR4_400_1,HARYANA,NR
GEN_124023_JHAJJAR4_400_2,HARYANA,NR
GEN_124023_JHAJJAR4_400_3,HARYANA,NR
GEN_131116_RAMGARH21_132_1,RAJASTHAN,NR
GEN_131116_RAMGARH21_132_2,RAJASTHAN,NR
GEN_131116_RAMGARH21_132_3,RAJASTHAN,NR
GEN_131121_RPS1_132_1,RAJASTHAN,NR
GEN_131121_RPS1_132_2,RAJASTHAN,NR
GEN_131121_RPS1_132_3,RAJASTHAN,NR
GEN_131121_RPS1_132_4,RAJASTHAN,NR
GEN_131159_MAHI-I_132_1,RAJASTHAN,NR
GEN_131222_JS1_132_1,RAJASTHAN,NR
GEN_131222_JS1_132_2,RAJASTHAN,NR
GEN_131222_JS1_132_3,RAJASTHAN,NR
GEN_131278_MAHI-II_132_1,RAJASTHAN,NR
GEN_132005_RAPS_A2_220_1,RAJASTHAN,NR
GEN_132005_RAPS_A2_220_2,RAJASTHAN,NR
GEN_132019_GIRALTPS_220_1,RAJASTHAN,NR
GEN_132019_GIRALTPS_220_2,RAJASTHAN,NR
GEN_132021_DHOLPU-4_220_1,RAJASTHAN,NR
GEN_132021_DHOLPU-4_220_2,RAJASTHAN,NR
GEN_132021_DHOLPU-4_220_3,RAJASTHAN,NR
GEN_132042_BARSINGS_220_1,RAJASTHAN,NR
GEN_132042_BARSINGS_220_2,RAJASTHAN,NR
GEN_132057_SURATH-2_220_1,RAJASTHAN,NR
GEN_132057_SURATH-2_220_2,RAJASTHAN,NR
GEN_132061_KTPS_220_1,RAJASTHAN,NR
GEN_132061_KTPS_220_2,RAJASTHAN,NR
GEN_132061_KTPS_220_3,RAJASTHAN,NR
GEN_132061_KTPS_220_4,RAJASTHAN,NR
GEN_132061_KTPS_220_5,RAJASTHAN,NR
GEN_132061_KTPS_220_6,RAJASTHAN,NR
GEN_132061_KTPS_220_7,RAJASTHAN,NR
GEN_132077_RAJWEST_220_7,RAJASTHAN,NR
GEN_132077_RAJWEST_220_8,RAJASTHAN,NR
GEN_132113_RAMGARH_220_4,RAJASTHAN,NR
GEN_132113_RAMGARH_220_5,RAJASTHAN,NR
