name,Type,Region,Zone
AltaW4,Wind,CISC,CA
AltaW5,Wind,CISC,CA
AltaW6,Wind,CISC,CA
AltaW7_PinyonP1,Wind,CISC,CA
AltaW8,Wind,CISC,CA
AltaW9_PinyonP2,Wind,CISC,CA
AmedeeWineagle1,Geothermal,CIPV,CA
AmedeeWineagle2,Geothermal,CIPV,CA
Ameresco1,Biomass,CIPV,CA
AmericanCanyon1,Biomass,CIPV,CA
AmericanCanyon2,Biomass,CIPV,CA
AmericanFalls1,Hydro,IPFE,PNW
AmericanFalls2,Hydro,IPFE,PNW
AmericanFalls3,Hydro,IPFE,PNW
AmesHydro,Hydro,PSCO,COWY
AmonixSolarPower,PV,TEPC,AZ
AmonixSwan,PV,TEPC,AZ
Amp_Chow_Bio,Biomass,CIPV,CA
Anaheim_GT,Gas CT,CISC,CA
Anderson,Biomass,CIPV,CA
AndersonRanch1,Hydro,IPTV,PNW
AndersonRanch2,Hydro,IPTV,PNW
Angels,Hydro,CIPV,CA
AnheuserBusch,PV,CIPV,CA
AntelopeValleySolar1,PV,CISC,CA
AntelopeValleySolar2,PV,CISC,CA
ApacheCC-Total,Gas CC,WALC,AZ
ApacheGT2,Gas CT,WALC,AZ
ApacheGT3,Gas CT,WALC,AZ
ApacheGT4,Gas CT,WALC,AZ
ApacheST2,Coal,WALC,AZ
ApacheST3,Coal,WALC,AZ
ApexCC-Total,Gas CC,NEVP,NV
APS_PVF_14010,PV,AZPS,AZ
APS_PVT_14209,PV,AZPS,AZ
AragonneWind,Wind,PNM,NM
ArapahoeCC-Total,Gas CC,PSCO,COWY
ArbWind,Wind,CISC,CA
ArcadianRenewbl,Wind,CIPV,CA
ARD_G1,Wind,AESO,CAN
ARD_G2,Wind,AESO,CAN
ArenaDrop,Hydro,IPTV,PNW
Argus_Cogen8,Coal,CISC,CA
Argus_Cogen9,Coal,CISC,CA
ArizonaFalls,Hydro,SRP,AZ
ArlingtonValleyPV1,PV,SRP,AZ
ArlingtonValleyPV2,PV,SRP,AZ
ArlingtonWind,Wind,BPAT,PNW
ArlngtnVallyCC-Total,Gas CC,SRP,AZ
Arrow_Lake1,Hydro,BCHA,CAN
Arrow_Lake2,Hydro,BCHA,CAN
Arvada1,Gas CT,WACM,COWY
Arvada2,Gas CT,WACM,COWY
Arvada3,Gas CT,WACM,COWY
Ash_River_1,Hydro,BCHA,CAN
Ashlu_Creek_1,Hydro,BCHA,CAN
Ashlu_Creek_2,Hydro,BCHA,CAN
Ashlu_Creek_3,Hydro,BCHA,CAN
Astroenergy,PV,TEPC,AZ
AtwellIsland,PV,CIPV,CA
Aurora,Geothermal,SPPC,NV
Avalon,PV,TEPC,AZ
AvenalPark,PV,CIPV,CA
AVSolarRanchOneAVSR,PV,CISC,CA
Azusa,Hydro,CISC,CA
Baca_Renewable,Wind,PSCO,COWY
Badger_1,PV,AZPS,AZ
Badger_Creek,CHP-QF,CIPV,CA
BajaCA2CC-Total,Gas CC,CFE,MX
BajaCA2TG1-1,Gas CT,CFE,MX
BajaCA2TG1-2,Gas CT,CFE,MX
BajaCA2TG1-3,Gas CT,CFE,MX
BajaCA3CC-Total,Gas CC,CFE,MX
BajaCA4CC-Total,Gas CC,CFE,MX
Baker_Station,Hydro,CIPV,CA
Balch1-1,Hydro,CIPV,CA
Balch2-2,Hydro,CIPV,CA
Balch2-3,Hydro,CIPV,CA
BalzacCC-Total,Gas CC,AESO,CAN
BangorSubmarineBase2,Other,BPAT,PNW
BarberCreek1,Gas CT,WACM,COWY
BarberCreek2,Gas CT,WACM,COWY
BarberCreek3,Gas CT,WACM,COWY
BarberDamGEN1,Hydro,IPTV,PNW
Barr_Creek_1,Hydro,BCHA,CAN
Barr_Creek_2,Hydro,BCHA,CAN
BarrePeaker,Gas CT,CISC,CA
Barrier,Hydro,AESO,CAN
BasinCreek1,Other,NWMT,MT
BasinCreek2,Other,NWMT,MT
BasinCreek3,Other,NWMT,MT
BasinCreek4,Other,NWMT,MT
BasinCreek5,Other,NWMT,MT
BasinCreek6,Other,NWMT,MT
BasinCreek7,Other,NWMT,MT
BasinCreek8,Other,NWMT,MT
BasinCreek9,Other,NWMT,MT
Battle_River_4,Coal,AESO,CAN
Battle_River_5,Coal,AESO,CAN
Bay_Envirnmntal,Biomass,CIPB,CA
Bear_Canyon1,Geothermal,CIPV,CA
Bear_Canyon2,Geothermal,CIPV,CA
Bear_Creek,Hydro,CIPV,CA
BearCreekCC-Total,Gas CC,AESO,CAN
Beardsley_1,Hydro,CIPV,CA
BearMountain_BC,Wind,BCHA,CAN
BearMountain_CA,CHP-QF,CIPV,CA
Bearspaw_1,Hydro,AESO,CAN
Beaver8,Gas CT,PGE,PNW
BeaverCC-Total,Gas CC,PGE,PNW
Belden_1,Hydro,CIPV,CA
BellevueSolarINV1,PV,PGE,PNW
Belly_River,Hydro,AESO,CAN
Bend1,Hydro,PACW,PNW
Bend2,Hydro,PACW,PNW
Bend3,Hydro,PACW,PNW
BenFrenchGT1,Gas CT,WACM,COWY
BenFrenchGT2,Gas CT,WACM,COWY
BenFrenchGT3,Gas CT,WACM,COWY
BenFrenchGT4,Gas CT,WACM,COWY
BennettCreek,Wind,IPTV,PNW
BennettMountain,Gas CT,IPTV,PNW
BeowawePower1,Geothermal,SPPC,NV
BeowawePower2,Geothermal,SPPC,NV
BerryPlaceritaCogen1,CHP-QF,CISC,CA
BerryPlaceritaCogen2,CHP-QF,CISC,CA
BerryTanneHills18-1,CHP-QF,CIPV,CA
BerryTanneHills18-2,Gas CT,CIPV,CA
BerryUniversityCogen,Gas CT,CIPV,CA
Betasso_Hydro,Hydro,PSCO,COWY
BidwellDitchGEN1,Hydro,CIPV,CA
Big_Cliff_1,Hydro,BPAT,PNW
BigCreek1-1,Hydro,CISC,CA
BigCreek1-2,Hydro,CISC,CA
BigCreek1-3,Hydro,CISC,CA
BigCreek1-4,Hydro,CISC,CA
BigCreek2-3,Hydro,CISC,CA
BigCreek2-4,Hydro,CISC,CA
BigCreek2-5,Hydro,CISC,CA
BigCreek2-6,Hydro,CISC,CA
BigCreek2A-1,Hydro,CISC,CA
BigCreek2A-2,Hydro,CISC,CA
BigCreek3-1,Hydro,CISC,CA
BigCreek3-2,Hydro,CISC,CA
BigCreek3-3,Hydro,CISC,CA
BigCreek3-4,Hydro,CISC,CA
BigCreek3-5,Hydro,CISC,CA
BigCreek4-1,Hydro,CISC,CA
BigCreek4-2,Hydro,CISC,CA
BigCreek8-1,Hydro,CISC,CA
BigCreek8-2,Hydro,CISC,CA
BigCreekWW,Hydro,CIPV,CA
Bighorn_1,Hydro,AESO,CAN
Bighorn_2,Hydro,AESO,CAN
BigHorn1,Wind,BPAT,PNW
BigHorn2,Wind,BPAT,PNW
BiglowCanyon1,Wind,BPAT,PNW
BiglowCanyon2,Wind,BPAT,PNW
BiglowCanyon3,Wind,BPAT,PNW
BigPine,Hydro,CISC,CA
BigSilver1,Hydro,BCHA,CAN
BigSilver2,Hydro,BCHA,CAN
BigSilver3,Hydro,BCHA,CAN
BigSilver4,Hydro,BCHA,CAN
BigSky1,Biomass,IPMV,PNW
BigSky2,Biomass,IPMV,PNW
BigThompson,Hydro,WACM,COWY
BigValley,Biomass,CIPV,CA
BiomassOneGE1,Biomass,PACW,PNW
BiomassOneGE2,Biomass,PACW,PNW
BirchCreek1,Hydro,IPFE,PNW
BishopCreek2-1,Hydro,CISC,CA
BishopCreek2-2,Hydro,CISC,CA
BishopCreek2-3,Hydro,CISC,CA
BishopCreek3-1,Hydro,CISC,CA
BishopCreek3-2,Hydro,CISC,CA
BishopCreek3-3,Hydro,CISC,CA
BishopCreek4-1,Hydro,CISC,CA
BishopCreek4-2,Hydro,CISC,CA
BishopCreek4-3,Hydro,CISC,CA
BishopCreek4-4,Hydro,CISC,CA
BishopCreek4-5,Hydro,CISC,CA
BishopCreek5-1,Hydro,CISC,CA
BishopCreek5-2,Hydro,CISC,CA
BishopCreek6-1,Hydro,CISC,CA
Bison_1_PHS,Storage,CISC,CA
Black Rock 1-2,Geothermal,IID,CA
Black Rock 5-6,Geothermal,IID,CA
Black Rock 7-8,Geothermal,IID,CA
BlackButte,Hydro,CIPV,CA
BlackCanyon1,Hydro,IPTV,PNW
BlackCanyon2,Hydro,IPTV,PNW
BlackCanyon3MV,Hydro,IPTV,PNW
BlackCreek,Hydro,PSEI,PNW
BlackEagle1,Hydro,NWMT,MT
BlackEagle2,Hydro,NWMT,MT
BlackEagle3,Hydro,NWMT,MT
BlackMountain1,Gas CT,TEPC,AZ
BlackMountain2,Gas CT,TEPC,AZ
Blacksand182,Biomass,CISC,CA
Blacksand189,Biomass,CISC,CA
Blacksand190,Biomass,CISC,CA
BlackspringRidge,Wind,AESO,CAN
BlindCanyon,Hydro,IPMV,PNW
Bliss1,Hydro,IPMV,PNW
Bliss2,Hydro,IPMV,PNW
Bliss3,Hydro,IPMV,PNW
BloomingtonPwr1,Other,PAUT,UT
BloomingtonPwr2,Other,PAUT,UT
BloomingtonPwr3,Other,PAUT,UT
BloomingtonPwr4,Other,PAUT,UT
BloomingtonPwr5,Other,PAUT,UT
BloomingtonPwr6,Other,PAUT,UT
BlueLake,Biomass,CIPV,CA
BlueMesa1,Hydro,WACM,COWY
BlueMesa2,Hydro,WACM,COWY
BlueSpruce1,Gas CT,PSCO,COWY
BlueSpruce2,Gas CT,PSCO,COWY
BluffviewCC-Total,Gas CC,WALC,AZ
Blundell1,Geothermal,PAUT,UT
Blundell2,Geothermal,PAUT,UT
BlytheCC-Total,Gas CC,CISC,CA
BlytheSolar,PV,CISC,CA
BoiseRDiversion1A,Hydro,IPTV,PNW
BoiseRDiversion2A,Hydro,IPTV,PNW
BoiseRDiversion3A,Hydro,IPTV,PNW
Bonanza,Coal,PAUT,UT
BoneCreek1,Hydro,BCHA,CAN
BoneCreek2,Hydro,BCHA,CAN
Bonneville1,Hydro,BPAT,PNW
Bonneville10,Hydro,BPAT,PNW
Bonneville11,Hydro,BPAT,PNW
Bonneville12,Hydro,BPAT,PNW
Bonneville13,Hydro,BPAT,PNW
Bonneville14,Hydro,BPAT,PNW
Bonneville15,Hydro,BPAT,PNW
Bonneville16,Hydro,BPAT,PNW
Bonneville17,Hydro,BPAT,PNW
Bonneville18,Hydro,BPAT,PNW
Bonneville2,Hydro,BPAT,PNW
Bonneville3,Hydro,BPAT,PNW
Bonneville4,Hydro,BPAT,PNW
Bonneville5,Hydro,BPAT,PNW
Bonneville6,Hydro,BPAT,PNW
Bonneville7,Hydro,BPAT,PNW
Bonneville8,Hydro,BPAT,PNW
Bonneville9,Hydro,BPAT,PNW
BonnevilleF1,Hydro,BPAT,PNW
BonnevilleF2,Hydro,BPAT,PNW
Bonnybrook,Gas CT,AESO,CAN
Borden-QFAgg,Hydro,CIPV,CA
BorderPeaker,Gas CT,CISD,CA
Borel1,Hydro,CISC,CA
Borel2,Hydro,CISC,CA
Borel3,Hydro,CISC,CA
BostonBar1,Hydro,BCHA,CAN
BostonBar2,Hydro,BCHA,CAN
BottleRock,Geothermal,CIPV,CA
BoulderCanyon1,Hydro,PSCO,COWY
BoulderCanyon2,Hydro,PSCO,COWY
BoulderCreek1,Hydro,BCHA,CAN
BoulderCreek2,Hydro,BCHA,CAN
BoulderCreek3,Hydro,BCHA,CAN
BoulderPark1,Other,AVA,PNW
BoulderPark2,Other,AVA,PNW
BoulderPark3,Other,AVA,PNW
BoulderPark4,Other,AVA,PNW
BoulderPark5,Other,AVA,PNW
BoulderPark6,Other,AVA,PNW
Boundary51,Hydro,SCL,PNW
Boundary52,Hydro,SCL,PNW
Boundary53,Hydro,SCL,PNW
Boundary54,Hydro,SCL,PNW
Boundary55,Hydro,SCL,PNW
Boundary56,Hydro,SCL,PNW
BountifulCity1A,Gas CT,PAUT,UT
BountifulCity8,Other,PAUT,UT
BowieCC1-Total,Gas CC,TEPC,AZ
BowieCC2-Total,Gas CC,TEPC,AZ
Bowman_GEN1,Hydro,CIPV,CA
BowMontCapital,Gas CT,AESO,CAN
BoxCanyonAVA1,Hydro,AVA,PNW
BoxCanyonAVA2,Hydro,AVA,PNW
BoxCanyonAVA3,Hydro,AVA,PNW
BoxCanyonAVA4,Hydro,AVA,PNW
BoxCanyonBC,Hydro,BCHA,CAN
BoxCanyonID,Hydro,IPMV,PNW
BoxCanyonPACW1,Hydro,SPPC,NV
BoxCanyonPACW2,Hydro,SPPC,NV
Boysen1,Hydro,WACM,COWY
Boysen2,Hydro,WACM,COWY
BradleyLandfill,Biomass,LDWP,CA
BradyHotSprings1,Geothermal,SPPC,NV
BradyHotSprings2,Geothermal,SPPC,NV
BradyHotSprings3,Geothermal,SPPC,NV
BradyHotSpringsOEC,Geothermal,SPPC,NV
Brandywine1,Hydro,BCHA,CAN
Brandywine2,Hydro,BCHA,CAN
BrazeauHydro1,Hydro,AESO,CAN
BrazeauHydro2,Hydro,AESO,CAN
Brea2CC-Total,Gas CC,CISC,CA
Breeze1,Wind,CISC,CA
Breeze2,Wind,CISC,CA
Bremner1,Hydro,BCHA,CAN
Bremner2,Hydro,BCHA,CAN
BridgeRiver1,Hydro,BCHA,CAN
BridgeRiver2,Hydro,BCHA,CAN
BridgeRiver21,Hydro,BCHA,CAN
BridgeRiver22,Hydro,BCHA,CAN
BridgeRiver23,Hydro,BCHA,CAN
BridgeRiver24,Hydro,BCHA,CAN
BridgeRiver3,Hydro,BCHA,CAN
BridgeRiver4,Hydro,BCHA,CAN
BriggsCreek1,Hydro,IPMV,PNW
Brilliant1,Hydro,BCHA,CAN
Brilliant2,Hydro,BCHA,CAN
Brilliant3,Hydro,BCHA,CAN
Brilliant4,Hydro,BCHA,CAN
BrilliantExp,Hydro,BCHA,CAN
Broadwater,Hydro,NWMT,MT
Broadway3,Steam,CISC,CA
Brownlee1,Hydro,IPTV,PNW
Brownlee2,Hydro,IPTV,PNW
Brownlee3,Hydro,IPTV,PNW
Brownlee4,Hydro,IPTV,PNW
Brownlee5,Hydro,IPTV,PNW
BrushCC1-Total,Gas CC,PSCO,COWY
BrushCC2-Total,Gas CC,PSCO,COWY
BrushCC3-Total,Gas CC,PSCO,COWY
Buckeye,Geothermal,CIPB,CA
Bucks_Creek_H1,Hydro,CIPV,CA
Bucks_Creek_H2,Hydro,CIPV,CA
Buena_Vista,Wind,CIPB,CA
BuenaVistaBioRepwr,Biomass,CIPV,CA
BuenaVistaPump1-1,Other,CIPV,CA
BuenaVistaPump1-2,Other,CIPV,CA
BuenaVistaPump1-3,Other,CIPV,CA
BuenaVistaPump1-4,Other,CIPV,CA
BuenaVistaPump1-5,Other,CIPV,CA
BuenaVistaPump1-6,Other,CIPV,CA
BuenaVistaPump2-1,Other,CIPV,CA
BuenaVistaPump2-2,Other,CIPV,CA
BuenaVistaPump2-3,Other,CIPV,CA
BuenaVistaPump2-4,Other,CIPV,CA
Buffalo_Bill_1,Hydro,WACM,COWY
Buffalo_Bill_2,Hydro,WACM,COWY
Buffalo_Bill_3,Hydro,WACM,COWY
BullCreekWind1,Wind,AESO,CAN
Bullmoose1,Wind,BCHA,CAN
Bullmoose2,Wind,BCHA,CAN
Buntzen1-1,Hydro,BCHA,CAN
Burley_Butte,Wind,IPMV,PNW
Burlington,Biomass,PSEI,PNW
Burlington_1,Other,WACM,COWY
Burlington_2,Other,WACM,COWY
Burney,Biomass,CIPV,CA
Burney_Creek,Hydro,CIPV,CA
Burney_Forest,Biomass,CIPV,CA
Burney_Mountain,Biomass,CIPV,CA
Burney_QF,Hydro,CIPV,CA
Burton_Creek,Hydro,BPAT,PNW
Busch_Ranch,Wind,PSCO,COWY
Butt_Valley_1,Hydro,CIPV,CA
Bypass_GEN1,Hydro,IPMV,PNW
Bypass_GEN2,Hydro,IPMV,PNW
Bypass_GEN3,Hydro,IPMV,PNW
C_J_Strike_1,Hydro,IPTV,PNW
C_LenzieCC1-Total,Gas CC,NEVP,NV
C_LenzieCC2-Total,Gas CC,NEVP,NV
C_P_Kelco1,Gas CT,CISD,CA
C_P_Kelco2,Gas CT,CISD,CA
C_P_Kelco3,Gas CT,CISD,CA
CA_Tower_SM1,CSP-TES,CISC,CA
CA_Tower_SM17,CSP-TES,CISC,CA
CA_Tower_SM25,CSP-TES,CISC,CA
CA_Tower_SM3,CSP-TES,CISC,CA
CA_Tower_SM13,CSP-TES,CISC,CA
CA_Tower_SM2,CSP-TES,CISC,CA
CabinCreekA,Storage,PSCO,COWY
CabinCreekB,Storage,PSCO,COWY
CabinetGorge1,Hydro,AVA,PNW
CabinetGorge2,Hydro,AVA,PNW
CabinetGorge3,Hydro,AVA,PNW
CabinetGorge4,Hydro,AVA,PNW
CacheCreekLandfill,Biomass,BCHA,CAN
CaithDixiVally1,Geothermal,CISC,CA
CaithDixiVally2,Geothermal,CISC,CA
CaithDixiVally3,Geothermal,CISC,CA
Calabasas1,Biomass,CISC,CA
Calabasas2,Biomass,CISC,CA
Calabasas3,Biomass,CISC,CA
Caliente1CC-Total,Gas CC,EPE,NM
CalInstTech-CC-Total,Gas CC,CISC,CA
Calistoga1,Geothermal,CIPV,CA
Calistoga2,Geothermal,CIPV,CA
Calpine_Geo,Geothermal,CIPV,CA
CalpineCC-Total,Gas CC,AESO,CAN
CalRenew_1_CR1,PV,CIPV,CA
Camanche_1,Hydro,CIPV,CA
Camanche_2,Hydro,CIPV,CA
Camanche_3,Hydro,CIPV,CA
Camino_H1,Hydro,BANC,CA
Camino_H2,Hydro,BANC,CA
Camp_Far_West_1,Hydro,CIPV,CA
Campbell_Hill,Wind,PAWY,COWY
CampReedWind,Wind,IPTV,PNW
Canby,Geothermal,PACW,PNW
CANCARB1-1,Biomass,AESO,CAN
Canoe_Creek,Hydro,BCHA,CAN
Cantua_Solar,PV,CIPV,CA
Canyon_Ferry_1,Hydro,NWMT,MT
Canyon_Ferry_2,Hydro,NWMT,MT
Canyon_Ferry_3,Hydro,NWMT,MT
Canyon_Pwr1,Gas CT,CISC,CA
Canyon_Pwr2,Gas CT,CISC,CA
Canyon_Pwr3,Gas CT,CISC,CA
Canyon_Pwr4,Gas CT,CISC,CA
Canyon_Springs,Hydro,IPMV,PNW
CapeScott1,Wind,BCHA,CAN
CapeScott2,Wind,BCHA,CAN
CapeScott3,Wind,BCHA,CAN
CapeScott4,Wind,BCHA,CAN
CapeScott5,Wind,BCHA,CAN
CardinalCC-Total,CHP-QF,CIPB,CA
CargillB6Bio1,Biomass,IPMV,PNW
CargillB6Bio2,Biomass,IPMV,PNW
CargillDryCreekBio1,Biomass,IPMV,PNW
CargillDryCreekBio2,Biomass,IPMV,PNW
CargillDryCreekBio3,Biomass,IPMV,PNW
Caribou_2_4,Hydro,CIPV,CA
Caribou_2_5,Hydro,CIPV,CA
Caribou1-1,Hydro,CIPV,CA
Caribou1-2,Hydro,CIPV,CA
Caribou1-3,Hydro,CIPV,CA
CarlsbadEC1-GT1,Gas CT,CISD,CA
CarlsbadEC1-GT2,Gas CT,CISD,CA
CarlsbadEC1-GT3,Gas CT,CISD,CA
CarlsbadEC1-GT4,Gas CT,CISD,CA
CarlsbadEC1-GT5,Gas CT,CISD,CA
CarlsbadEC1-GT6,Gas CT,CISD,CA
Carmen_Smith_1,Hydro,BPAT,PNW
Carmen_Smith_2,Hydro,BPAT,PNW
Carmen_Smith_3,Hydro,BPAT,PNW
CarouselWindFarm,Wind,PSCO,COWY
Carsela1_1,Gas CT,AESO,CAN
Carsela2_2,Gas CT,AESO,CAN
CarsonCC-Total,CHP-QF,CISC,CA
CarsonIce_GT,Gas CT,BANC,CA
CarsonIceCC-Total,CHP-QF,BANC,CA
CartyGenStaCC-Total,Gas CC,PGE,PNW
Cascade_CO,Hydro,WACM,COWY
Cascade_ID_1,Hydro,IPTV,PNW
Cascade_ID_2,Hydro,IPTV,PNW
Cascade1_1,Hydro,AESO,CAN
Cascade2_2,Hydro,AESO,CAN
Casper_Wind,Wind,PAWY,COWY
CassiaGulch,Wind,IPMV,PNW
CassiaWind,Wind,IPMV,PNW
Castaic_1,Storage,LDWP,CA
Castaic_2,Storage,LDWP,CA
Castaic_3,Storage,LDWP,CA
Castaic_4,Storage,LDWP,CA
Castaic_5,Storage,LDWP,CA
Castaic_6,Storage,LDWP,CA
Castaic_7,Hydro,LDWP,CA
CastaicInflowHydro,Storage,LDWP,CA
Castle_Creek1,Hydro,BCHA,CAN
Castle_Creek2,Hydro,BCHA,CAN
CastlerockG1_1,Wind,AESO,CAN
CASTRIV1_1,Wind,AESO,CAN
CASTRIV2_2,Wind,AESO,CAN
Castrvlle_QF,Coal,CIPV,CA
Catalina_Solar,PV,CISC,CA
CavalierCC-Total,Gas CC,AESO,CAN
CA-Valley2,PV,CIPB,CA
CA-Valley2A,PV,CIPB,CA
CA-Valley2B,PV,CIPB,CA
CA-Valley2C,PV,CIPB,CA
CA-Valley2D,PV,CIPB,CA
CC-Creek,Hydro,BCHA,CAN
CD4,Geothermal,CIPV,CA
Cedar_Creek1_1,Wind,PSCO,COWY
Cedar_Creek2,Wind,PSCO,COWY
Cedar_Draw_1,Hydro,IPMV,PNW
Cedar_Falls_5,Hydro,SCL,PNW
Cedar_Falls_6,Hydro,SCL,PNW
Cedar_Mountain,Wind,AZPS,AZ
Cedar_Point,Wind,PSCO,COWY
Cedar_Road_LFG,Biomass,BCHA,CAN
CedarCreek1-2,Wind,PSCO,COWY
CE-Leathers,Geothermal,IID,CA
Center_Area_Agg,Gas CT,CISC,CA
CenterPeaker,Gas CT,CISC,CA
Centerville1,Hydro,CIPV,CA
Centerville2,Hydro,CIPV,CA
Centralia2,Coal,BPAT,PNW
CentraliaCC-Total,Gas CC,BPAT,PNW
Century1,Gas CT,CISC,CA
Century2,Gas CT,CISC,CA
Century3,Gas CT,CISC,CA
Century4,Gas CT,CISC,CA
CerroPrieto1-1,Geothermal,CFE,MX
CerroPrieto1-2,Geothermal,CFE,MX
CerroPrieto1-3,Geothermal,CFE,MX
CerroPrieto1-4,Geothermal,CFE,MX
CerroPrieto1-5,Geothermal,CFE,MX
CerroPrieto2-1,Geothermal,CFE,MX
CerroPrieto2-2,Geothermal,CFE,MX
CerroPrieto3-1,Geothermal,CFE,MX
CerroPrieto3-2,Geothermal,CFE,MX
CerroPrieto4-1,Geothermal,CFE,MX
CerroPrieto4-2,Geothermal,CFE,MX
CerroPrieto4-3,Geothermal,CFE,MX
CerroPrieto4-4,Geothermal,CFE,MX
CerroPrieto5-1,Geothermal,CFE,MX
CerroPrietoPV,PV,CFE,MX
Chalk_Cliff,CHP-QF,CIPV,CA
Chandler_1,Hydro,BPAT,PNW
Chandler_2,Hydro,BPAT,PNW
Cheakamus_1,Hydro,BCHA,CAN
Cheakamus_2,Hydro,BCHA,CAN
ChehalisCC-Total,Gas CC,BPAT,PNW
Chelan_A_1,Hydro,CHPD,PNW
Chelan_A_2,Hydro,CHPD,PNW
CherokeeCC-Total,Gas CC,PSCO,COWY
Chetwynd_Bio1,Biomass,BCHA,CAN
CheyennePrairie2-1,Gas CT,WACM,COWY
CheyennePrairie2-2,Gas CT,WACM,COWY
CheyennePrairie3,Gas CT,WACM,COWY
CheynnPrari1CC-Total,Gas CC,WACM,COWY
Chicago_Park_2P,Hydro,CIPV,CA
Chickwat_1,Hydro,BCHA,CAN
ChiefJoseph02,Hydro,BPAT,PNW
ChiefJoseph03,Hydro,BPAT,PNW
ChiefJoseph04,Hydro,BPAT,PNW
ChiefJoseph05,Hydro,BPAT,PNW
ChiefJoseph06,Hydro,BPAT,PNW
ChiefJoseph07,Hydro,BPAT,PNW
ChiefJoseph08,Hydro,BPAT,PNW
ChiefJoseph09,Hydro,BPAT,PNW
ChiefJoseph10,Hydro,BPAT,PNW
ChiefJoseph11,Hydro,BPAT,PNW
ChiefJoseph12,Hydro,BPAT,PNW
ChiefJoseph13,Hydro,BPAT,PNW
ChiefJoseph14,Hydro,BPAT,PNW
