name,Type,Region,Zone
150MileHouse,Other,BCHA,CAN
8MileCanyon,Wind,BPAT,PNW
Abel1,Gas CT,SRP,AZ
Abel2,Gas CT,SRP,AZ
Abel3,Gas CT,SRP,AZ
Abel4,Gas CT,SRP,AZ
Abel5,Gas CT,SRP,AZ
Abel6,Gas CT,SRP,AZ
Abel7,Gas CT,SRP,AZ
Abel8,Gas CT,SRP,AZ
Abel9,Gas CT,SRP,AZ
Aberdeen,Biomass,BPAT,PNW
Aberfeldie2-1,Hydro,BCHA,CAN
Aberfeldie2-2,Hydro,BCHA,CAN
Aberfeldie2-3,Hydro,BCHA,CAN
Abiquiu1,Hydro,PNM,NM
Abiquiu2,Hydro,PNM,NM
Abiquiu3,Hydro,PNM,NM
AccionaAB,Wind,AESO,CAN
ACE-Cogen,CHP-QF,CISC,CA
Added_PV_Storage_6hr,Storage,CISC,CA
AdelantoSolar,PV,CISC,CA
AESO_Reserve,Other,AESO,CAN
AESO-P+G,Gas CT,AESO,CAN
AFA_Solar_Farm,PV,WACM,COWY
AftonCC-Total,Gas CC,PNM,NM
AgnewsCC-Total,CHP-QF,CIPV,CA
Agua_Fria_PV,PV,SRP,AZ
Agua_Mansa,Gas CT,CISC,CA
AguaCalienteSolar1,PV,AZPS,AZ
AguaCalienteSolar2,PV,AZPS,AZ
AguaCalienteSolar3,PV,AZPS,AZ
AguaFria1,Other,SRP,AZ
AguaFria2,Other,SRP,AZ
AguaFria3,Other,SRP,AZ
AguaFria4,Gas CT,SRP,AZ
AguaFria5,Gas CT,SRP,AZ
AguaFria6,Gas CT,SRP,AZ
AGWishon1,Hydro,CIPV,CA
AGWishon2,Hydro,CIPV,CA
AGWishon3,Hydro,CIPV,CA
AGWishon4,Hydro,CIPV,CA
Aidlin_Geo1,Geothermal,CIPV,CA
Aidlin_Geo2,Geothermal,CIPV,CA
AirLiquide,Gas CT,AESO,CAN
Airport5-1,Gas CT,PSCO,COWY
AirportIndustrial1,Other,PSCO,COWY
AirportIndustrial2,Other,PSCO,COWY
AirportIndustrial3,Other,PSCO,COWY
AirportIndustrial4,Other,PSCO,COWY
Akolkolex,Hydro,BCHA,CAN
Alameda1,Gas CT,CIPB,CA
Alameda2,Gas CT,CIPB,CA
Alamo_1,Hydro,CISC,CA
AlamogordoPV,PV,PNM,NM
AlbeniFalls1,Hydro,BPAT,PNW
AlbeniFalls2,Hydro,BPAT,PNW
AlbeniFalls3,Hydro,BPAT,PNW
Albuquerque_PV,PV,PNM,NM
Alcova1,Hydro,WACM,COWY
Alcova2,Hydro,WACM,COWY
AldenBailey,Gas CT,BPAT,PNW
Alder11,Hydro,TPWR,PNW
Alder12,Hydro,TPWR,PNW
AlgonquinCC-Total,CHP-QF,CIPV,CA
Almond1,Gas CT,TIDC,CA
Almond2-2,Gas CT,TIDC,CA
Almond2-3,Gas CT,TIDC,CA
Almond2-4,Gas CT,TIDC,CA
Alouette,Hydro,BCHA,CAN
ALPAC1,Biomass,AESO,CAN
ALPAC2,Biomass,AESO,CAN
ALPAC3,Biomass,AESO,CAN
ALPAC4,Biomass,AESO,CAN
Alpaugh50,PV,CIPV,CA
AlpaughNorth,PV,CIPV,CA
AlpineSolar,PV,CISC,CA
Alta_PH1,Hydro,CIPV,CA
Alta_PH2,Hydro,CIPV,CA
Alta_Vista,CSP,CISC,CA
AltaGasHarm_2,Gas CT,AESO,CAN
AltaMesaPhaseIVGEN1,Wind,CISC,CA
Altamont_Bio2,Biomass,CIPB,CA
Altamont_Bio3,Biomass,CIPB,CA
Altamont_Bio4,Biomass,CIPB,CA
Altamont_Midway,Wind,CIPV,CA
Altamont1,Biomass,CIPB,CA
AltamontPwrAgg,Wind,CIPV,CA
AltamontPwrPart,Wind,CIPB,CA
AltaW1,Wind,CISC,CA
AltaW2,Wind,CISC,CA
AltaW3,Wind,CISC,CA
