rto,region,agg_rto
rto1,WECC,rto1
rto10,ERCOT,rto10
rto11,MISO,rto11
rto12,PJM,rto12
rto13,MISO,rto11
rto14,SERC,rto14
rto15,SERC,rto14
rto16,FRCC,rto16
rto17,NYISO,rto17
rto18,ISO-NE,rto18
rto2,WECC,rto1
rto3,WECC,rto1
rto4,CAISO,rto4
rto5,WECC,rto1
rto6,MISO,rto11
rto7,PJM,rto12
rto8,SPP,rto8
rto9,SERC,rto14
