,name,region
1,AZNM,WECC
2,BPA,WECC
3,CAISO,CAISO
4,ERCOT,ERCOT
5,FRCC,FRCC
6,ISO-NE,ISO-NE
7,MISO-E,MISO
8,MISO-S,MISO
9,MISO-W,MISO
10,NWPP,WECC
11,NYISO,NYISO
12,PJM-E,PJM
13,PJM-W,PJM
14,RMPP,WECC
15,SE,SERC
16,SPP,SPP
17,TVA,SERC
18,VACAR,SERC
